Bairro,Vizinho,Logradouro,Tipo
San Martin,Estância,Avenida General San Martin,primary
San Martin,Jardim São Paulo,Avenida General San Martin,primary
San Martin,Jiquiá,Avenida General San Martin,primary
San Martin,Curado,Avenida General San Martin,primary
San Martin,Torrões,Avenida General San Martin,primary
San Martin,Cordeiro,Avenida General San Martin,primary
Curado,Sancho,Avenida Getúlio Vargas,tertiary
Curado,Tejipió,Avenida Getúlio Vargas,tertiary
Curado,Totó,Avenida Getúlio Vargas,tertiary
Curado,Jardim São Paulo,Avenida Getúlio Vargas,tertiary
Curado,San Martin,Avenida Getúlio Vargas,tertiary
Curado,Cidade Universitária,Avenida Getúlio Vargas,tertiary
Curado,Engenho do Meio,Avenida Getúlio Vargas,tertiary
Curado,Torrões,Avenida Getúlio Vargas,tertiary
Curado,Várzea,Avenida Getúlio Vargas,tertiary
Cidade Universitária,Curado,Avenida Jornalista Aníbal Fernandes,tertiary
Cidade Universitária,Engenho do Meio,Avenida Jornalista Aníbal Fernandes,tertiary
Cidade Universitária,Várzea,Avenida Jornalista Aníbal Fernandes,tertiary
Cidade Universitária,Iputinga,Avenida Jornalista Aníbal Fernandes,tertiary
Engenho do Meio,Curado,Rua Antônio Borges Uchoa,residential
Engenho do Meio,Cidade Universitária,Rua Salvador Vital,residential
Engenho do Meio,Torrões,Rua Antônio Borges Uchoa,residential
Engenho do Meio,Cordeiro,Rua Antônio Borges Uchoa,residential
Engenho do Meio,Iputinga,Rua Antônio Borges Uchoa,residential
Torrões,San Martin,Rua Damasqueiro,residential
Torrões,Curado,Rua Damasqueiro,residential
Torrões,Engenho do Meio,Rua Engenho Terra do Dia,residential
Torrões,Cordeiro,Rua Damasqueiro,residential
Caxangá,Várzea,Rua Engenho Poeta,residential
Caxangá,Iputinga,Rua Engenho Poeta,residential
Caxangá,Apipucos,Rua Engenho Poeta,residential
Caxangá,Dois Irmãos,Rua Engenho Poeta,residential
Caxangá,Sítio dos Pintos,Rua Engenho Poeta,residential
Várzea,Curado,Rua Diogo de Vasconcelos,tertiary
Várzea,Cidade Universitária,Rua Diogo de Vasconcelos,tertiary
Várzea,Caxangá,Rua Diogo de Vasconcelos,tertiary
Várzea,Iputinga,Rua Diogo de Vasconcelos,tertiary
Arruda,Ponto de Parada,Rua José Austregésilo,residential
Arruda,Rosarinho,Rua José Austregésilo,residential
Arruda,Tamarineira,Rua José Austregésilo,residential
Arruda,Campo Grande,Rua José Austregésilo,residential
Arruda,Peixinhos,Rua José Austregésilo,residential
Arruda,Bomba do Hemetério,Rua José Austregésilo,residential
Arruda,Campina do Barreto,Rua José Austregésilo,residential
Arruda,Mangabeira,Rua José Austregésilo,residential
Arruda,Água Fria,Rua José Austregésilo,residential
Campo Grande,Hipódromo,Rua Manuel de Barros Lima,residential
Campo Grande,Ponto de Parada,Rua Manuel de Barros Lima,residential
Campo Grande,Encruzilhada,Rua Manuel de Barros Lima,residential
